Sponsorship,Gender,GPA
Scholarship,Male,2.4245032112888487
Self-funded,Male,3.1878490091728358
Scholarship,Female,2.6996806550405976
Scholarship,Female,2.8541531251033616
Scholarship,Female,2.6991466938853015
Self-funded,Male,3.926139092254469
Scholarship,Female,2.993251387631033
Scholarship,Male,2.4711445355220496
Scholarship,Male,3.4112724560515946
Self-funded,Male,2.389578175014489
Scholarship,Male,3.104431797502378
Scholarship,Male,2.020164938060112
Scholarship,Female,2.3359069755507846
Scholarship,Female,3.0984306179345618
Self-funded,Female,3.3692332899977053
Scholarship,Female,3.085684140594985
Self-funded,Female,2.94217585880588
Self-funded,Male,2.8494481522053556
Self-funded,Female,2.260739004816286
Scholarship,Female,2.6400778958026456
Self-funded,Male,2.769680614520106
Scholarship,Female,3.5285611131094576
Self-funded,Male,3.1718091447842305
Self-funded,Female,2.118479922318633
Self-funded,Male,3.1620419846973977
Self-funded,Female,2.8074588597918417
Self-funded,Female,2.6615389998470205
Self-funded,Male,3.305838144420434
Self-funded,Male,3.5154997612479755
Self-funded,Male,3.4656400595580994
